Date,Open,High,Low,Close,Adj Close,Volume
13-07-2021,144.029999,147.460007,143.630005,145.639999,145.422119,100827100
14-07-2021,148.100006,149.570007,147.679993,149.149994,148.926865,127050800
15-07-2021,149.240005,150,147.089996,148.479996,148.257874,106820300
16-07-2021,148.460007,149.759995,145.880005,146.389999,146.17099,93251400
19-07-2021,143.75,144.070007,141.669998,142.449997,142.236893,121434600
20-07-2021,143.460007,147.100006,142.960007,146.149994,145.931351,96350000
21-07-2021,145.529999,146.130005,144.630005,145.399994,145.18248,74993500
22-07-2021,145.940002,148.199997,145.809998,146.800003,146.580383,77338200
23-07-2021,147.550003,148.720001,146.919998,148.559998,148.337753,71447400
26-07-2021,148.270004,149.830002,147.699997,148.990005,148.76712,72434100
27-07-2021,149.119995,149.210007,145.550003,146.770004,146.55043,104818600
28-07-2021,144.809998,146.970001,142.539993,144.979996,144.763107,118931200
29-07-2021,144.690002,146.550003,144.580002,145.639999,145.422119,56699500
30-07-2021,144.380005,146.330002,144.110001,145.860001,145.641785,70382000
02-08-2021,146.360001,146.949997,145.25,145.520004,145.302307,62880000
03-08-2021,145.809998,148.039993,145.179993,147.360001,147.139542,64786600
04-08-2021,147.270004,147.789993,146.279999,146.949997,146.730164,56368300
05-08-2021,146.979996,147.839996,146.169998,147.059998,146.839996,46397700
06-08-2021,146.350006,147.110001,145.630005,146.139999,146.139999,54067400
09-08-2021,146.199997,146.699997,145.520004,146.089996,146.089996,48908700
10-08-2021,146.440002,147.710007,145.300003,145.600006,145.600006,69023100
11-08-2021,146.050003,146.720001,145.529999,145.860001,145.860001,48493500
12-08-2021,146.190002,149.050003,145.839996,148.889999,148.889999,72282600
13-08-2021,148.970001,149.440002,148.270004,149.100006,149.100006,59318800
16-08-2021,148.539993,151.190002,146.470001,151.119995,151.119995,103296000
17-08-2021,150.229996,151.679993,149.089996,150.190002,150.190002,92229700
18-08-2021,149.800003,150.720001,146.149994,146.360001,146.360001,86326000
19-08-2021,145.029999,148,144.5,146.699997,146.699997,86960300
20-08-2021,147.440002,148.5,146.779999,148.190002,148.190002,59947400
23-08-2021,148.309998,150.190002,147.889999,149.710007,149.710007,60131800
24-08-2021,149.449997,150.860001,149.149994,149.619995,149.619995,48606400
25-08-2021,149.809998,150.320007,147.800003,148.360001,148.360001,58991300
26-08-2021,148.350006,149.119995,147.509995,147.539993,147.539993,48597200
27-08-2021,147.479996,148.75,146.830002,148.600006,148.600006,55721500
30-08-2021,149,153.490005,148.610001,153.119995,153.119995,90956700
31-08-2021,152.660004,152.800003,151.289993,151.830002,151.830002,86453100
01-09-2021,152.830002,154.979996,152.339996,152.509995,152.509995,80313700
02-09-2021,153.869995,154.720001,152.399994,153.649994,153.649994,71115500
03-09-2021,153.759995,154.630005,153.089996,154.300003,154.300003,57808700
07-09-2021,154.970001,157.259995,154.389999,156.690002,156.690002,82278300
08-09-2021,156.979996,157.039993,153.979996,155.110001,155.110001,74420200
09-09-2021,155.490005,156.110001,153.949997,154.070007,154.070007,57305700
10-09-2021,155,155.479996,148.699997,148.970001,148.970001,140646400
13-09-2021,150.630005,151.419998,148.75,149.550003,149.550003,102271300
